Elapsed .ino Time (millisecs),Lat (deg *10^-7),Long (deg *10^-7),Altitude (mm),Accuracy (mm)
142346,-579065945,1170629914,15311824,0
1836,-573393081,1191350876,15119636,0
3769,-571344212,1199411097,15049795,0
5801,-571226317,1205288129,15045770,0
7833,-571752440,1187533440,15063729,0
9766,-570756732,1189112831,15029728,0
11798,-569901123,1184549634,15000470,0
13832,-568960230,1186156750,14968252,0
15764,-567840688,1193167501,14929857,0
17798,-568659998,1198087058,14957962,0
19831,-568240066,1214754194,14943561,0
21765,-567188322,1220762399,14907454,0
23798,-568063991,1188421309,14937520,0
25830,-566182432,1222616809,14872868,0
27763,-564545869,1224107111,14816488,0
29796,-565340586,1203582577,14843883,0
31828,-569009231,1194493233,14969931,0
33763,-568186019,1189907971,14941707,0
35798,-569202451,1183795631,14976551,0
37831,-568091729,1195842361,14938472,0
39764,-569209691,1214786305,14976799,0
41798,-517031190,1227908718,13128957,0
43831,-513182898,1214990885,12988757,0
45865,-512147873,1208916595,12950979,0
